code,chapter,title,jsonVerse,txtVerse,araVerse,recommendedVerse,verdict,source,url
2CH,5,"Salomão traz para o templo a arca",2,1,4,4,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ch/5
2CH,6,"Salomão ora a Deus",12,1,10,10,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ch/6
2CH,7,"A conclusão da solenidade",4,1,17,17,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ch/7
2CH,7,"A aliança do Senhor com Salomão",11,1,6,6,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ch/7
2CH,9,"As riquezas de Salomão",13,1,,1,fix_needed,tsv_extraido,https://www.bibliaonline.com.br/ara/2ch/9
2CH,9,"A morte de Salomão",29,1,5,5,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ch/9
2CH,10,"Dez tribos seguem Jeroboão",16,1,6,6,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ch/10
2CH,12,"O reinado de Roboão",13,1,10,10,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ch/12
2CH,14,"O reinado de Asa",23,1,13,13,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ch/14
2CH,14,"""Asa vence a Zerá, o etíope""",8,9,11,11,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ch/14
2CH,16,"A morte de Asa",11,1,17,1,fix_needed,tsv_extraido,https://www.bibliaonline.com.br/ara/2ch/16
2CH,18,"As promessas dos falsos profetas",4,1,17,17,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ch/18
2CH,18,"A profecia de Micaías",12,1,1,1,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ch/18
2CH,18,"A morte de Acabe",28,1,11,11,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ch/18
2CH,20,"O reinado e a morte de Josafá",31,1,10,10,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ch/20
2CH,21,"O reinado de Jeorão",1,2,24,2,fix_needed,tsv_extraido,https://www.bibliaonline.com.br/ara/2ch/21
2CH,22,"O reinado de Acazias",1,2,36,2,fix_needed,tsv_extraido,https://www.bibliaonline.com.br/ara/2ch/22
2CH,22,"Atalia usurpa o trono",10,2,23,2,fix_needed,tsv_extraido,https://www.bibliaonline.com.br/ara/2ch/22
2CH,23,"Joás ungido rei de Judá",1,2,31,2,fix_needed,tsv_extraido,https://www.bibliaonline.com.br/ara/2ch/23
2CH,23,"A morte de Atalia",12,2,17,17,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ch/23
2CH,23,"A aliança de Joiada",16,2,28,2,fix_needed,tsv_extraido,https://www.bibliaonline.com.br/ara/2ch/23
2CH,24,"O reinado de Joás",1,2,14,14,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ch/24
2CH,24,"A conspiração contra o rei Joás",25,2,25,25,json_ok,txt_ara,https://www.bibliaonline.com.br/ara/2ch/24
2CH,25,"O reinado de Amazias",1,2,36,2,fix_needed,tsv_extraido,https://www.bibliaonline.com.br/ara/2ch/25
2CH,25,"Amazias vence os edomitas",5,2,47,2,fix_needed,tsv_extraido,https://www.bibliaonline.com.br/ara/2ch/25
2CH,25,"Amazias derrotado por Jeoás",17,2,23,23,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ch/25
2CH,25,"""A morte de Amazias, de Judá""",25,2,17,17,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ch/25
2CH,26,"O reinado de Uzias",1,2,28,2,fix_needed,tsv_extraido,https://www.bibliaonline.com.br/ara/2ch/26
2CH,26,"Uzias é atacado de lepra",16,2,22,22,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ch/26
2CH,27,"O reinado de Jotão",1,2,22,2,fix_needed,tsv_extraido,https://www.bibliaonline.com.br/ara/2ch/27
2CH,28,"O reinado de Acaz",1,2,17,17,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ch/28
2CH,28,"Acaz pede socorro aos assírios",16,2,22,22,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ch/28
2CH,28,"A idolatria de Acaz",22,2,8,8,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ch/28
2CH,28,"A morte de Acaz",26,2,17,17,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ch/28
2CH,29,"Ezequias manda abrir o templo",1,2,24,24,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ch/29
2CH,32,"Senaqueribe afronta a Ezequias e ao Senhor",9,2,14,14,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ch/32
2CH,32,"A destruição do exército dos assírios",21,2,45,2,fix_needed,tsv_extraido,https://www.bibliaonline.com.br/ara/2ch/32
2CH,32,"Doença de Ezequias",24,2,56,2,fix_needed,tsv_extraido,https://www.bibliaonline.com.br/ara/2ch/32
2CH,32,"A morte de Ezequias",32,2,1,1,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ch/32
2CH,33,"O reinado de Manassés",1,2,11,11,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ch/33
