livro	capitulo	versiculo	linha_txt	titulo_ara	referencias
1KI	21	1	116014	Nabote recusa vender a sua vinha a Acabe	
1KI	21	8	116129	Jezabel ordena a morte de Nabote	
1KI	21	17	116256	Elias ameaça a Acabe e Jezabel	
1KI	22	2	116435	Aliança entre Josafá, de Judá, e Acabe	
1KI	22	2	116477	As profecias dos falsos profetas	
1KI	22	2	116575	A profecia de Micaías	
1KI	22	2	116827	A morte de Acabe	
1KI	22	2	116986	O reinado e a morte de Josafá	
1KI	22	52	117094	O reinado de Acazias, de Israel	
1PE	1	1	362831	Prefácio e saudação	
1PE	1	3	362853	Ação de graças	
1PE	1	13	363006	A santidade na vida	
1PE	1	22	363094	A santidade no amor	
1PE	3	1	363454	A vida exemplar cristã: deveres dos casados	
1PE	3	8	363567	A vida exemplar cristã: o amor fraternal	
1PE	4	1	363764	A morte para o pecado e a pureza de vida	
1PE	4	12	363901	O sofrermos por Cristo é privilégio glorioso	
1PE	5	1	364016	Os deveres do ministério	
1SA	1	1	86791	Elcana e suas mulheres	
1SA	1	9	86875	A oração e o voto de Ana	
1SA	2	1	87125	O cântico de Ana	
1SA	2	12	87231	Os crimes dos filhos de Eli	
1SA	2	18	87330	A mocidade de Samuel	
1SA	2	22	87372	Eli repreende os seus filhos	
1SA	2	27	87457	Profecia contra a casa de Eli	
1SA	3	1	87604	Deus fala com Samuel numa visão	
1SA	3	15	87755	Samuel conta a visão a Eli	
1SA	4	1	87813	Os filisteus vencem os israelitas	
1SA	4	12	87988	A morte de Eli	
1SA	5	1	88127	A arca na casa de Dagom	
1SA	6	1	88292	Os filisteus enviam a arca para fora da sua terra	
1SA	6	10	88469	A arca chega a Bete-Semes	
1SA	6	19	88608	A arca chega a Quiriate-Jearim	
1SA	7	2	88660	Exortação de Samuel ao arrependimento	
1SA	7	5	88700	Os filisteus são vencidos	
1SA	8	1	88865	Os israelitas pedem um rei	
1SA	9	1	89129	Samuel	
1SA	10	1	89525	Samuel unge a Saul rei de Israel	
1SA	10	9	89648	Saul entre os profetas	
1SA	10	17	89726	Saul escolhido rei	
1SA	11	1	89877	Saul vence os amonitas	
1SA	11	12	90030	Saul proclamado rei	
1SA	12	1	90099	Samuel resigna o seu cargo	
1SA	13	1	90429	Guerra entre os israelitas e os filisteus	
1SA	14	24	91022	O voto de Saul	
1SA	14	36	91185	Jônatas salvo pelo povo	
1SA	15	1	91412	A desobediência de Saul e a sua rejeição	
1SA	15	32	91821	Samuel mata a Agague	
1SA	16	1	91867	Samuel enviado a Jessé	
1SA	16	14	92034	Davi tange sua harpa perante Saul	
1SA	17	1	92173	O desafio de Golias	
1SA	17	12	92298	Davi enviado a seus irmãos	
1SA	18	1	92875	A amizade de Jônatas para com Davi	
1SA	18	20	93117	Mical ama a Davi e casa com ele	
1SA	19	1	93225	Jônatas intercede por Davi	
1SA	20	1	93533	A amizade entre Davi e Jônatas	
1SA	20	12	93688	Jônatas faz aliança com Davi	
1SA	20	30	93934	Saul irado contra Jônatas	
1SA	20	35	93994	Jônatas despede-se de Davi	
1SA	21	1	94113	Davi vai ter com o sacerdote Aimeleque	
1SA	21	10	94239	Davi foge para Aquis, rei de Gate	
1SA	22	1	94336	Davi esconde-se em Adulão e em Moabe	
1SA	22	6	94392	Saul mata todos os sacerdotes de Nobe	
1SA	22	20	94595	Abiatar refugia-se com Davi	
1SA	23	1	94666	Davi livra a Queila	
1SA	23	15	94833	Davi e Jônatas renovam a aliança	
1SA	23	19	94871	A traição dos zifeus	
1SA	24	1	95012	Davi poupa a vida de Saul	
1SA	25	1	95284	A morte de Samuel	
1SA	25	2	95298	Davi e Nabal	
1SA	25	18	95525	Abigail apazigua a Davi	
1SA	25	36	95776	A morte de Nabal	
1SA	25	39	95847	Davi casa com Abigail	
1SA	26	1	95919	Davi, outra vez, poupa a vida de Saul	
1SA	27	1	96255	Davi, outra vez, com Aquis, rei de Gate	
1SA	28	1	96430	Saul consulta a médium de En-Dor	
1SA	29	1	96768	Os filisteus desconfiam de Davi	
1SA	30	1	96935	Ziclague é saqueada pelos amalequitas	
1SA	30	7	97038	Davi livra os cativos	
1SA	31	1	97364	A derrota de Israel e a morte de Saul	
1SA	31	1	97462	A sepultura de Saul	
1TH	1	1	352866	Prefácio e saudação	
1TH	1	2	352880	Ação de graças	
1TH	2	17	353240	O interesse de Paulo pelos tessalonicenses	
1TH	4	1	353435	Exortação à prática da santidade	
1TH	4	13	353576	A situação dos mortos em Cristo e a vinda do Senhor	
1TH	5	4	353707	A necessidade de vigilância	
1TH	5	12	353763	Diversos preceitos	
1TH	5	23	353866	O voto do apóstolo	
1TH	5	25	353884	A saudação final e a bênção	
1TI	1	1	354559	Prefácio e saudação	
1TI	1	8	354627	A lei e os seus objetivos	
1TI	1	18	354754	O bom combate	
1TI	2	1	354794	Mediador	
1TI	3	1	354935	As qualificações dos bispos e dos diáconos	
1TI	4	1	355118	A apostasia nos últimos tempos	
1TI	5	3	355311	Das viúvas	
1TI	6	1	355615	Dos senhores e dos servos	
1TI	6	3	355655	Os falsos mestres e os perigos da riqueza	
1TI	6	11	355756	Apelo para Timóteo	
1TI	6	17	355804	Acerca dos ricos	
2CH	1	1	137582	Salomão oferece sacrifícios em Gibeão	
2CH	1	1	137632	Salomão pede a Deus sabedoria	
2CH	1	1	137769	As riquezas de Salomão	
2CH	2	1	137837	Salomão faz aliança com Hirão	
2CH	3	1	138141	Salomão edifica o templo	
2CH	3	1	138237	Os dois querubins	
2CH	3	1	138328	As duas colunas	
2CH	4	1	138364	O mar de fundição	
2CH	4	1	138449	Outros utensílios para o templo	
2CH	5	1	138660	Salomão traz para o templo a arca	
2CH	6	1	138857	Salomão fala ao povo	
2CH	6	1	139000	Salomão ora a Deus	
2CH	7	1	139434	A glória de Deus enche o templo	
2CH	7	1	139499	A conclusão da solenidade	
2CH	7	1	139589	A aliança do Senhor com Salomão	
2CH	8	1	139754	As demais atividades de Salomão	
2CH	9	1	140020	A rainha de Sabá visita a Salomão	
2CH	9	1	140193	As riquezas de Salomão	
2CH	9	1	140372	A morte de Salomão	
2CH	10	1	140420	Roboão causa separação entre as tribos	
2CH	10	1	140599	Dez tribos seguem Jeroboão	
2CH	11	5	140722	As cidades fortificadas de Roboão	
2CH	11	18	140861	A família de Roboão	
2CH	12	1	140917	A invasão de Sisaque	
2CH	12	1	141062	O reinado de Roboão	
2CH	13	1	141153	O reinado de Abias	
2CH	14	1	141420	O reinado de Asa	
2CH	14	9	141559	Asa vence a Zerá, o etíope	
2CH	15	1	141660	As reformas religiosas de Asa	
2CH	16	1	141879	Asa faz aliança com o rei da Síria	
2CH	16	7	141978	Asa repreendido por Hanani	
2CH	16	1	142044	A morte de Asa	
2CH	17	1	142090	Estabelecido o reinado de Josafá	
2CH	18	1	142322	Aliança entre Josafá e Acabe	
2CH	18	1	142358	As promessas dos falsos profetas	
2CH	18	1	142485	A profecia de Micaías	
2CH	18	1	142678	A morte de Acabe	
2CH	19	1	142758	O profeta Jeú repreende a Josafá	
2CH	19	4	142819	Nomeação de juízes	
2CH	20	1	142988	A vitória de Josafá sobre Moabe e Amom	
2CH	20	1	143360	O reinado e a morte de Josafá	
2CH	21	2	143444	O reinado de Jeorão	
2CH	22	2	143730	O reinado de Acazias	
2CH	22	7	143847	Jeú mata a Acazias	
2CH	22	2	143883	Atalia usurpa o trono	
2CH	23	2	143923	Joás ungido rei de Judá	
2CH	23	2	144080	A morte de Atalia	
2CH	23	2	144163	A aliança de Joiada	
2CH	24	2	144247	O reinado de Joás	
2CH	24	17	144470	Zacarias morto pelo rei	
2CH	24	23	144575	O juízo de Deus sobre Joás	
2CH	24	2	144601	A conspiração contra o rei Joás	
2CH	25	2	144678	O reinado de Amazias	
2CH	25	2	144728	Amazias vence os edomitas	
2CH	25	2	144923	Amazias derrotado por Jeoás	
2CH	25	2	145078	A morte de Amazias, de Judá	
2CH	26	2	145126	O reinado de Uzias	
2CH	26	2	145325	Uzias é atacado de lepra	
2CH	27	2	145492	O reinado de Jotão	
2CH	28	2	145637	O reinado de Acaz	
2CH	28	2	145872	Acaz pede socorro aos assírios	
2CH	28	2	145963	A idolatria de Acaz	
2CH	28	2	146019	A morte de Acaz	
2CH	29	2	146063	Ezequias manda abrir o templo	
2CH	29	12	146204	Os levitas purificam o templo	
2CH	30	1	146604	A celebração da Páscoa	
2CH	32	2	147707	Doença de Ezequias	
2CH	32	2	147805	A morte de Ezequias	
2CH	33	2	147872	O reinado de Manassés	
2CH	33	2	148111	A morte de Manassés	
2CH	33	2	148157	O reinado de Amom	
2CH	34	2	148242	O reinado de Josias	
2CH	34	2	148260	A purificação do templo e do culto	
2CH	34	2	148326	O rei repara o templo	
2CH	34	2	148451	Hilquias acha o Livro da Lei	
2CH	35	2	148797	A celebração da Páscoa	
2CH	35	2	149089	A morte de Josias no vale de Megido	
2CH	36	2	149191	O reinado e deposição de Joacaz	
2CH	36	2	149280	O reinado de Jeoaquim	
2CH	36	2	149332	O reinado de Joaquim	
2CH	36	2	149356	O reinado de Zedequias	
2CH	36	2	149453	O cativeiro de Judá	
2CH	36	22	149523	O decreto de Ciro	
2CO	1	1	343740	Prefácio e saudação	
2CO	1	3	343758	Ação de graças de Paulo pelo conforto divino	
2CO	1	12	343876	A sinceridade de Paulo	
2CO	2	5	344132	O penitente deve ser readmitido na igreja	
2CO	2	12	344182	A intranquilidade de Paulo não encontrando Tito	
2CO	4	1	344488	Paulo cumpre o seu ministério com fidelidade	
2CO	4	7	344548	O poder de Paulo vem só de Deus	
2CO	4	16	344671	O desígnio e efeito das aflições	
2CO	5	1	344703	Ausentes do corpo e presentes com o Senhor	
2CO	5	11	344812	O zelo apostólico de Paulo	
2CO	5	18	344923	O ministério da reconciliação	
